MTFCC,OID,RTTYP,SUFQUAL,SUFQUALABRV,SUFTYP,SUFTYPEABRV,BASENAME,NAME
R1011,110496584758,M,,,505,RR,Abandoned,Abandoned RR
R1011,110702912021,M,,,505,RR,Abandoned,Abandoned RR
R1011,110425922699,M,,,505,RR,Abandoned,Abandoned RR
R1011,110702912022,M,,,505,RR,Abandoned,Abandoned RR
R1011,110702912020,M,,,505,RR,Abandoned,Abandoned RR
R1011,110449404338,M,,,307,Grade,Abandoned Railroad,Abandoned Railroad Grade
R1011,110169260065,M,,,307,Grade,Abandoned Railroad,Abandoned Railroad Grade
R1011,110783342778,M,,,505,RR,Adironack,Adironack RR
R1011,110990936732,M,,,505,RR,Adirondack,Adirondack RR
R1011,110990936731,M,,,505,RR,Adirondack,Adirondack RR
R1011,110783343284,M,,,505,RR,Adirondack,Adirondack RR
R1011,110990936733,M,,,505,RR,Adirondack,Adirondack RR
R1011,110789137245,,,,,,Adrc Ml,Adrc Ml
R1011,110783344436,,,,,,Adrc Ml,Adrc Ml
R1011,110783344435,,,,,,Adrc Ml,Adrc Ml
R1011,110789137243,,,,,,Adrc Ml,Adrc Ml
R1011,110789281270,,,,505,RR,Albany Port,Albany Port RR
R1011,110789281271,,,,505,RR,Albany Port,Albany Port RR
R1011,110789281272,,,,505,RR,Albany Port,Albany Port RR
R1011,110789281273,,,,505,RR,Albany Port,Albany Port RR
R1011,110789281278,,,,505,RR,Albany Port,Albany Port RR
R1011,110789281275,,,,505,RR,Albany Port,Albany Port RR
R1011,110789281276,,,,505,RR,Albany Port,Albany Port RR
R1011,110789281277,,,,505,RR,Albany Port,Albany Port RR
R1011,110789281274,,,,505,RR,Albany Port,Albany Port RR
R1011,1104755461386,,,,,,Amktrak,Amktrak
R1011,1104755460533,,,,,,Amtrak,Amtrak
R1011,1104745391316,,,,,,Amtrak,Amtrak
R1011,11015922199352,M,,,505,RR,Amtrak,Amtrak RR
R1011,11015922199355,M,,,505,RR,Amtrak,Amtrak RR
R1011,11015922199356,M,,,505,RR,Amtrak,Amtrak RR
R1011,11015922199357,M,,,505,RR,Amtrak,Amtrak RR
R1011,11017129532712,M,,,505,RR,Amtrak,Amtrak RR
R1011,11017129532713,M,,,505,RR,Amtrak,Amtrak RR
R1011,11026263613184,M,,,505,RR,Amtrak,Amtrak RR
R1011,11026263613185,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525074,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525075,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525077,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525078,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525079,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525080,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525081,M,,,505,RR,Amtrak,Amtrak RR
R1011,110789255608,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525085,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525091,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525092,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525094,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525098,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525099,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525100,M,,,505,RR,Amtrak,Amtrak RR
R1011,110425920435,M,,,505,RR,Amtrak,Amtrak RR
R1011,110425920436,M,,,505,RR,Amtrak,Amtrak RR
R1011,110425920438,M,,,505,RR,Amtrak,Amtrak RR
R1011,110425920439,M,,,505,RR,Amtrak,Amtrak RR
R1011,110425920440,M,,,505,RR,Amtrak,Amtrak RR
R1011,110425920441,M,,,505,RR,Amtrak,Amtrak RR
R1011,110460980934,M,,,505,RR,Amtrak,Amtrak RR
R1011,110460980935,M,,,505,RR,Amtrak,Amtrak RR
R1011,110460980939,M,,,505,RR,Amtrak,Amtrak RR
R1011,110460980943,M,,,505,RR,Amtrak,Amtrak RR
R1011,110460980944,M,,,505,RR,Amtrak,Amtrak RR
R1011,110460980945,M,,,505,RR,Amtrak,Amtrak RR
R1011,110460980946,M,,,505,RR,Amtrak,Amtrak RR
R1011,1107052293061,,,,505,RR,Amtrak,Amtrak RR
R1011,1107052293057,,,,505,RR,Amtrak,Amtrak RR
R1011,1104999083746,M,,,505,RR,Amtrak,Amtrak RR
R1011,110391525082,M,,,505,RR,Amtrak,Amtrak RR
R1011,1102216814745,,,,,,Ara Ml,Ara Ml
R1011,1102216814746,,,,,,Ara Ml,Ara Ml
R1011,1102169875453,,,,,,Ara Ml,Ara Ml
R1011,1102169875892,,,,,,Ara Ml,Ara Ml
R1011,1102169876762,,,,,,Ara Ml,Ara Ml
R1011,1102216814743,,,,,,Ara Ml,Ara Ml
R1011,1102216814744,,,,,,Ara Ml,Ara Ml
R1011,1102633148316,,,,505,RR,Arcade and Attica,Arcade and Attica RR
R1011,110170655720,M,,,505,RR,Arcade and Attica,Arcade and Attica RR
R1011,110170655721,M,,,505,RR,Arcade and Attica,Arcade and Attica RR
R1011,110170655722,M,,,505,RR,Arcade and Attica,Arcade and Attica RR
R1011,110170655723,M,,,505,RR,Arcade and Attica,Arcade and Attica RR
R1011,110170655724,M,,,505,RR,Arcade and Attica,Arcade and Attica RR
R1011,110170655725,M,,,505,RR,Arcade and Attica,Arcade and Attica RR
R1011,110170655726,M,,,505,RR,Arcade and Attica,Arcade and Attica RR
R1011,110169064045,M,,,,,Auburn Trl,Auburn Trl
R1011,110742561410,,,,,,Baldwinsville Nmpc,Baldwinsville Nmpc
R1011,1101476262050,,,,,,Baldwinsville Subdivision,Baldwinsville Subdivision
R1011,1101476262051,,,,,,Baldwinsville Subdivision,Baldwinsville Subdivision
R1011,11012813252277,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,11031982999233,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110170655736,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110170655737,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077604,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077605,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077607,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077608,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077609,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077610,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077611,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077612,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077613,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077614,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077615,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077616,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077617,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077618,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404501,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077620,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077621,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077622,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077623,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077624,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077625,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077626,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077627,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077628,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077629,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077631,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,1103730577739,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,1103730577738,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471168923,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169077619,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404489,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404490,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404491,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404492,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404493,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404494,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404495,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404496,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404497,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404498,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404499,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110471404500,M,,,505,RR,Baltimore and Ohio,Baltimore and Ohio RR
R1011,110169085906,M,,,505,RR,Baltimore and Onio,Baltimore and Onio RR
R1011,110471404771,,,,,,Batavia It,Batavia It
R1011,110471404772,,,,,,Batavia It,Batavia It
R1011,110471404773,,,,,,Batavia It,Batavia It
R1011,110471404774,,,,,,Batavia It,Batavia It
R1011,110471404775,,,,,,Batavia It,Batavia It
R1011,110471404767,,,,,,Batavia It,Batavia It
R1011,110471404768,,,,,,Batavia It,Batavia It
R1011,110471404769,,,,,,Batavia It,Batavia It
R1011,110471404770,,,,,,Batavia It,Batavia It
R1011,110471404812,,,,672,Yard,Batavia,Batavia Yard
R1011,110471404813,,,,672,Yard,Batavia,Batavia Yard
R1011,110471404814,,,,672,Yard,Batavia,Batavia Yard
R1011,110169271805,M,,,505,RR,Bath and Hammondsport,Bath and Hammondsport RR
R1011,110169271808,M,,,505,RR,Bath and Hammondsport,Bath and Hammondsport RR
R1011,110169271806,M,,,505,RR,Bath and Hammondsport,Bath and Hammondsport RR
R1011,1107080676823,M,,,505,RR,Bath and Hammondsport,Bath and Hammondsport RR
R1011,1107080676821,M,,,505,RR,Bath and Hammondsport,Bath and Hammondsport RR
R1011,110169271807,M,,,505,RR,Bath and Hammondsport,Bath and Hammondsport RR
R1011,1107079883706,M,,,505,RR,Batten Kill,Batten Kill RR
R1011,110795936318,M,,,505,RR,Batten Kill,Batten Kill RR
R1011,1107079883702,M,,,505,RR,Batten Kill,Batten Kill RR
R1011,1107079883704,M,,,505,RR,Batten Kill,Batten Kill RR
R1011,110795936317,M,,,505,RR,Batten Kill,Batten Kill RR
R1011,110795936316,M,,,505,RR,Batten Kill,Batten Kill RR
R1011,110795936315,M,,,505,RR,Batten Kill,Batten Kill RR
R1011,110783344410,,,,,,Big Moose Railroad Yard (Station),Big Moose Railroad Yard (Station)
R1011,110695013600,,,,572,Spur,Blue Seal,Blue Seal Spur
R1011,110695013599,,,,572,Spur,Blue Seal,Blue Seal Spur
R1011,110449033727,,,,,,Boston Ml,Boston Ml
R1011,110449033728,,,,,,Boston Ml,Boston Ml
R1011,110785969177,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110785969176,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110785969175,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110785969174,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110785969173,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110794267679,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110794267669,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110794267668,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110448805874,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110448805875,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110448805873,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110448805870,M,,,505,RR,Boston and Maine,Boston and Maine RR
R1011,110448805868,M,,,505,RR,Boston and Maine,Boston and Maine RR
